BranchKey,BranchCode,BranchName,City,Region,OpenedYear
1,BR0001,New York East Branch,New York,Northeast,2003
2,BR0002,Miami Downtown Branch,Miami,Southeast,2018
3,BR0003,Philadelphia East Branch,Philadelphia,Northeast,2012
4,BR0004,Philadelphia Center Branch,Philadelphia,Northeast,1996
5,BR0005,New York Downtown Branch,New York,Northeast,2002
6,BR0006,Seattle Main Branch,Seattle,West,2012
7,BR0007,Charlotte East Branch,Charlotte,Southeast,2017
8,BR0008,Los Angeles Downtown Branch,Los Angeles,West,2009
9,BR0009,Los Angeles Main Branch,Los Angeles,West,2019
10,BR0010,Charlotte Center Branch,Charlotte,Southeast,2005
11,BR0011,Chicago Downtown Branch,Chicago,Midwest,2019
12,BR0012,Chicago Main Branch,Chicago,Midwest,2007
13,BR0013,Boston Plaza Branch,Boston,Northeast,2014
14,BR0014,Chicago East Branch,Chicago,Midwest,2009
15,BR0015,San Francisco Center Branch,San Francisco,West,1997
16,BR0016,Los Angeles East Branch,Los Angeles,West,2014
17,BR0017,Columbus Downtown Branch,Columbus,Midwest,2017
18,BR0018,New York East Branch,New York,Northeast,2002
19,BR0019,Chicago Downtown Branch,Chicago,Midwest,1998
20,BR0020,Houston Center Branch,Houston,Southwest,2015
21,BR0021,Chicago Plaza Branch,Chicago,Midwest,2006
22,BR0022,Charlotte Plaza Branch,Charlotte,Southeast,2017
23,BR0023,Philadelphia East Branch,Philadelphia,Northeast,2000
24,BR0024,Seattle Downtown Branch,Seattle,West,2000
25,BR0025,Houston Plaza Branch,Houston,Southwest,2015
26,BR0026,San Francisco East Branch,San Francisco,West,2005
27,BR0027,New York Main Branch,New York,Northeast,2020
28,BR0028,Detroit Plaza Branch,Detroit,Midwest,1997
29,BR0029,Charlotte East Branch,Charlotte,Southeast,2005
30,BR0030,Charlotte Center Branch,Charlotte,Southeast,2007
31,BR0031,Dallas Plaza Branch,Dallas,Southwest,1999
32,BR0032,Charlotte West Branch,Charlotte,Southeast,2012
33,BR0033,Columbus West Branch,Columbus,Midwest,2008
34,BR0034,Los Angeles Plaza Branch,Los Angeles,West,2002
35,BR0035,Charlotte Center Branch,Charlotte,Southeast,1997
36,BR0036,New York Downtown Branch,New York,Northeast,2015
37,BR0037,Charlotte Center Branch,Charlotte,Southeast,2014
38,BR0038,Boston Center Branch,Boston,Northeast,2014
39,BR0039,Phoenix Plaza Branch,Phoenix,Southwest,2012
40,BR0040,Philadelphia East Branch,Philadelphia,Northeast,1998
